source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"10-Inch Diameter Sanitary Force Main with Restrained Joints using Trenchless, Horizontal Directional Drilling","10""",Unspecified,Open Cut,LF,1.0,105.0,105.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"10-Inch Diameter Sanitary Force Main with Restrained Joints, by Open Cut","10""",Unspecified,Open Cut,LF,1.0,195.0,195.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,10-inch Diameter Sanitary Force Main within PPCA STA 13+51 to STA 13+66 on Baseline C,"10""",Unspecified,Open Cut,LF,1.0,500.0,500.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"10-Inch Diameter Sanitary Force Main with Restrained Joints, crossing HCFCD Unit A-119-00-00 STA 1+45 to STA 4+87 on Baseline E, by Horizontal Directional Drill","10""",Unspecified,Open Cut,LS,1.0,98000.0,98000.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,12-Inch Diameter Ductile Iron WL at Crossings with Force Main,"12""",Ductile Iron,Open Cut,LF,1.0,425.0,425.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"12-inch Diameter Force Main in 16-inch PVC Casing parallel to WL, STA 34+22 to STA 38+55","12""",PVC,Cased Crossing,LF,1.0,600.0,600.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"12-Inch Diameter Sanitary Force Main with Restrained Joints, by Pipe Bursting","12""",Unspecified,Open Cut,LF,1.0,160.0,160.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,12-Inch Diameter Sanitary Force Main with Restrained Joints by Horizontal Directional Drilling,"12""",Unspecified,Open Cut,LF,1.0,150.0,150.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"12-Inch Diameter Sanitary Force Main with Restrained Joints, by Open Cut","12""",Unspecified,Open Cut,LF,1.0,350.0,350.0,,,,
WW05_Wastewater Force Main RnR For Highland Meadow.xlsx,2024,Force Main,"12-Inch Diameter Sanitary Force Main with Restrained Joints, crossing HCFCD Unit A-111-00-00, STA 71+26 to STA 73+89","12""",Unspecified,Open Cut,LS,1.0,95000.0,95000.0,,,,
